鄉鎮市區,土地總面積平方公尺,總樓層數,建物型態,建物總面積平方公尺,房,廳,衛,有無管理,總價元,單價每平方公尺,車位移轉總面積平方公尺,電梯
中西區,158.63,3,透天厝,241.78,8,3,5,無,42000000,173712,,無
中西區,358.33,2,透天厝,512.45,5,2,4,無,80500000,157088,,無
北區,20.23,14,住宅大樓,144.86,3,2,2,有,8800000,53843,,有
北區,20.51,22,住宅大樓,264.51,3,2,2,有,18600000,82604,36.01,有
北區,11.46,14,住宅大樓,139.66,1,0,1,有,3300000,23629,,有
安平區,98,4,透天厝,259.81,6,2,4,無,16250000,62546,,無
北區,17.11,9,華夏,94.09,2,2,1,有,7200000,76522,,有
安平區,7.31,27,住宅大樓,85.3,2,2,1,有,4900000,57443,,有
北區,59,2,透天厝,82.08,4,1,2,無,5200000,63353,,無
中西區,123.62,2,透天厝,139.37,3,2,2,無,16000000,114802,,無
安平區,19.69,14,住宅大樓,153.43,4,2,2,有,7400000,48231,,有
北區,194.42,5,透天厝,413.74,5,2,6,無,33500000,80969,,無
中西區,17.59,13,住宅大樓,114.53,2,2,2,有,7900000,70250,16.31,有
北區,31.95,10,華夏,142.74,3,2,2,有,6650000,39584,,有
中西區,79.91,5,透天厝,217.46,5,2,4,無,14800000,68058,,無
安平區,1.04,,,,,,,有,2000000,41288,,
安平區,86.36,4,透天厝,177.36,5,2,4,無,16720000,94272,,無
安平區,86.81,4,透天厝,179.07,5,2,4,無,16800000,93818,,無
安平區,86.82,4,透天厝,178.07,5,2,4,無,16800000,94345,,無
中西區,71.15,3,透天厝,167.12,7,2,5,無,12500000,74797,,無
安平區,25.16,29,住宅大樓,278.95,3,2,3,有,16050000,55998,24.11,有
北區,31.41,24,住宅大樓,324.9,3,2,3,有,25500000,90446,38.74,有
安平區,103,,,,,,,無,7170000,69612,,
安平區,12.67,23,住宅大樓,147.72,2,2,2,有,8400000,62004,28.37,有
安平區,8.29,24,住宅大樓,117.4,3,2,2,有,5300000,45144,,有
安平區,13.55,14,住宅大樓,139.5,3,2,2,有,6680000,47885,,有
北區,32.8,9,華夏,139.86,4,2,2,有,6200000,38609,,有
北區,121.5,4,透天厝,252,5,2,5,無,22880000,90794,,無
安平區,72.73,,,,,,,無,7480000,102846,,
北區,14.02,7,華夏,75.78,2,2,1,有,3602000,47533,,有
安平區,39.86,21,住宅大樓,253.02,3,2,2,有,20200000,79835,30.89,有
安平區,24.93,,住宅大樓,,3,2,3,有,17050000,61270,,
中西區,16.25,18,住宅大樓,160.7,3,2,2,有,11000000,68452,23.12,有
北區,82,2,透天厝,84.06,5,2,2,無,6000000,71378,,無
北區,11.59,18,住宅大樓,78.7,2,1,1,有,3800000,48283,,有
安平區,98,5,透天厝,283.08,6,2,6,無,17800000,62880,,無
北區,5.75,24,住宅大樓,78.53,2,2,1,有,5350000,68126,,有
安平區,24.93,29,住宅大樓,276.63,3,2,3,有,15650000,55273,24.11,有
安平區,74.09,3,透天厝,164.29,5,2,4,無,10400000,63303,,無
中西區,13.46,,,,,,,無,600000,44577,,
中西區,15.41,,華夏,,2,2,1,有,4470000,52618,,
北區,29.38,12,住宅大樓,324.94,,,,有,9980000,30713,,有
北區,18.29,22,住宅大樓,208.06,3,2,2,有,15600000,81661,36.01,有
安平區,64.84,4,透天厝,235.07,4,3,4,有,9000000,38287,1.46,無
安平區,440,,,,,,,無,49912500,113438,,
中西區,122.06,2,透天厝,168.16,4,2,3,無,16500000,98121,,無
北區,11.27,24,住宅大樓,149.22,3,2,2,有,8200000,59999,32.55,有
北區,72,2,透天厝,102.72,4,2,2,無,5000000,48676,,無
中西區,61.14,2,透天厝,115.61,3,2,2,無,10250000,88660,,無
